No.;Year;Title;Cover
123;1967;The Mummy's Shroud;hound-of-the-baskerville-hammer.jpg
124;1967;Quatermass and the Pit;hound-of-the-baskerville-hammer.jpg
125;1967;Slave Girls;hound-of-the-baskerville-hammer.jpg
126;1968;The Anniversary;hound-of-the-baskerville-hammer.jpg
127;1968;The Vengeance of She;hound-of-the-baskerville-hammer.jpg
128;1968;The Devil Rides Out;hound-of-the-baskerville-hammer.jpg
129;1968;Dracula Has Risen from the Grave;hound-of-the-baskerville-hammer.jpg
130;1968;The Lost Continent;hound-of-the-baskerville-hammer.jpg
131;1969;Frankenstein Must Be Destroyed;hound-of-the-baskerville-hammer.jpg
132;1969;Moon Zero Two;hound-of-the-baskerville-hammer.jpg
133;1970;Taste the Blood of Dracula;hound-of-the-baskerville-hammer.jpg
134;1970;Crescendo;hound-of-the-baskerville-hammer.jpg
135;1970;Scars of Dracula;hound-of-the-baskerville-hammer.jpg
136;1970;The Horror of Frankenstein;hound-of-the-baskerville-hammer.jpg
137;1970;The Vampire Lovers;hound-of-the-baskerville-hammer.jpg
138;1970;When Dinosaurs Ruled the Earth;hound-of-the-baskerville-hammer.jpg
139;1971;Countess Dracula;hound-of-the-baskerville-hammer.jpg
140;1971;Lust for a Vampire;hound-of-the-baskerville-hammer.jpg
141;1971;Creatures the World Forgot;hound-of-the-baskerville-hammer.jpg
142;1971;Dr. Jekyll and Sister Hyde;hound-of-the-baskerville-hammer.jpg
143;1971;Blood from the Mummy's Tomb;hound-of-the-baskerville-hammer.jpg
144;1971;Twins of Evil;hound-of-the-baskerville-hammer.jpg
145;1971;Hands of the Ripper;hound-of-the-baskerville-hammer.jpg
146;1971;On the Buses;hound-of-the-baskerville-hammer.jpg
147;1972;Vampire Circus;hound-of-the-baskerville-hammer.jpg
148;1972;Dracula A.D. 1972;hound-of-the-baskerville-hammer.jpg
149;1972;Fear in the Night;hound-of-the-baskerville-hammer.jpg
150;1972;Straight On till Morning;hound-of-the-baskerville-hammer.jpg
151;1972;Demons of the Mind;hound-of-the-baskerville-hammer.jpg
152;1972;Mutiny on the Buses;hound-of-the-baskerville-hammer.jpg
153;1972;Nearest and Dearest;hound-of-the-baskerville-hammer.jpg
154;1973;Holiday on the Buses;hound-of-the-baskerville-hammer.jpg
155;1973;Love Thy Neighbour;hound-of-the-baskerville-hammer.jpg
156;1973;Man at the Top;hound-of-the-baskerville-hammer.jpg
157;1973;That's Your Funeral;hound-of-the-baskerville-hammer.jpg
158;1973;The Satanic Rites of Dracula;hound-of-the-baskerville-hammer.jpg
159;1973;Wolfshead: The Legend of Robin Hood;hound-of-the-baskerville-hammer.jpg
160;1974;Captain Kronos Vampire Hunter;hound-of-the-baskerville-hammer.jpg
161;1974;Frankenstein and the Monster from Hell;hound-of-the-baskerville-hammer.jpg
162;1974;Man About the House;hound-of-the-baskerville-hammer.jpg
163;1974;Shatter;hound-of-the-baskerville-hammer.jpg
164;1974;The Legend of the 7 Golden Vampires;hound-of-the-baskerville-hammer.jpg
165;1976;To the Devil a Daughter;hound-of-the-baskerville-hammer.jpg
166;1979;The Lady Vanishes;hound-of-the-baskerville-hammer.jpg
